id,predicted,img_path,plate,well,plate_well,cell_type,plate_class,is_extra,target_0,target_1,target_2,target_3,target_4,target,pred,pred_,pred_0,pred_1,pred_2,pred_3,pred_4
cort[density]_C6-1_Vessel-376_2020-11-03_13h30m00s_Ph_4.png,,../input/train_semi_supervised/cort[density]_C6-1_Vessel-376_2020-11-03_13h30m00s_Ph_4.png,cort[density],C6,cort[density]_C6,cort,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.47893173,0.08870253375705561,0.47893173,0.14652504,0.046589848,0.3770022,0.4288507
cort[density]_B7-2_Vessel-376_2020-11-07_13h30m00s_Ph_3.png,,../input/train_semi_supervised/cort[density]_B7-2_Vessel-376_2020-11-07_13h30m00s_Ph_3.png,cort[density],B7,cort[density]_B7,cort,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.042428106,0.12063587110060081,0.042428106,0.1320258,0.03050393,0.13174257,0.9628557
astro[hippo]_F2-2_Vessel-361_2020-09-15_13h00m00s_Ph_2.png,,../input/train_semi_supervised/astro[hippo]_F2-2_Vessel-361_2020-09-15_13h00m00s_Ph_2.png,astro[hippo],F2,astro[hippo]_F2,astro,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.1806191,0.46077876803272577,0.1806191,0.5767136,0.08328065,0.7818472,0.010839109
astro[hippo]_F3-2_Vessel-361_2020-09-14_13h00m00s_Ph_1.png,,../input/train_semi_supervised/astro[hippo]_F3-2_Vessel-361_2020-09-14_13h00m00s_Ph_1.png,astro[hippo],F3,astro[hippo]_F3,astro,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.69647926,0.2063337184057925,0.69647926,0.25023744,0.069577605,0.120564476,0.58526754
astros[cereb]_G10-3_Vessel-361_2020-09-14_09h00m00s_Ph_3.png,,../input/train_semi_supervised/astros[cereb]_G10-3_Vessel-361_2020-09-14_09h00m00s_Ph_3.png,astros[cereb],G10,astros[cereb]_G10,astro,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.2653244,0.36426986104807546,0.2653244,0.7277017,0.21044393,0.5113049,0.13686168
astros[cereb]_E8-1_Vessel-361_2020-09-14_09h00m00s_Ph_2.png,,../input/train_semi_supervised/astros[cereb]_E8-1_Vessel-361_2020-09-14_09h00m00s_Ph_2.png,astros[cereb],E8,astros[cereb]_E8,astro,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.33619004,0.5034172708548569,0.33619004,0.17014116,0.6989167,0.008261578,0.43177858
astro[hippo]_E3-3_Vessel-361_2020-09-16_13h00m00s_Ph_2.png,,../input/train_semi_supervised/astro[hippo]_E3-3_Vessel-361_2020-09-16_13h00m00s_Ph_2.png,astro[hippo],E3,astro[hippo]_E3,astro,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.37406495,0.6903948286293653,0.37406495,0.61825067,0.11074743,0.6525329,0.032404523
shsy5y[diff]_D4-1_Vessel-714_2019-06-14_11h30m00s_Ph_3.png,,../input/train_semi_supervised/shsy5y[diff]_D4-1_Vessel-714_2019-06-14_11h30m00s_Ph_3.png,shsy5y[diff],D4,shsy5y[diff]_D4,shsy5y,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.2049387,0.039312139841098936,0.2049387,0.16003448,0.7214175,0.07297214,0.30206132
astro[hippo]_E3-4_Vessel-361_2020-09-15_13h00m00s_Ph_4.png,,../input/train_semi_supervised/astro[hippo]_E3-4_Vessel-361_2020-09-15_13h00m00s_Ph_4.png,astro[hippo],E3,astro[hippo]_E3,astro,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.3144215,0.7994103989090426,0.3144215,0.29930988,0.06254405,0.108878314,0.5573713
astro[hippo]_G3-1_Vessel-361_2020-09-15_13h00m00s_Ph_3.png,,../input/train_semi_supervised/astro[hippo]_G3-1_Vessel-361_2020-09-15_13h00m00s_Ph_3.png,astro[hippo],G3,astro[hippo]_G3,astro,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.08496393,0.6279003894909078,0.08496393,0.63828266,0.502282,0.31130517,0.07172504
astro[hippo]_E3-2_Vessel-361_2020-09-15_13h00m00s_Ph_3.png,,../input/train_semi_supervised/astro[hippo]_E3-2_Vessel-361_2020-09-15_13h00m00s_Ph_3.png,astro[hippo],E3,astro[hippo]_E3,astro,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.46287584,0.08175903194887191,0.46287584,0.3230632,0.19192049,0.28174227,0.60516393
shsy5y[diff]_D12-1_Vessel-714_2019-06-14_11h30m00s_Ph_4.png,,../input/train_semi_supervised/shsy5y[diff]_D12-1_Vessel-714_2019-06-14_11h30m00s_Ph_4.png,shsy5y[diff],D12,shsy5y[diff]_D12,shsy5y,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.90158457,0.8735786241067772,0.90158457,0.586816,0.030171214,0.2720423,0.4224464
cort[density]_B7-2_Vessel-376_2020-10-30_13h30m00s_Ph_2.png,,../input/train_semi_supervised/cort[density]_B7-2_Vessel-376_2020-10-30_13h30m00s_Ph_2.png,cort[density],B7,cort[density]_B7,cort,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05613385,0.9208724005318132,0.05613385,0.12699218,0.36560374,0.8242068,0.12643583
astros[cereb]_F12-1_Vessel-361_2020-09-13_09h00m00s_Ph_2.png,,../input/train_semi_supervised/astros[cereb]_F12-1_Vessel-361_2020-09-13_09h00m00s_Ph_2.png,astros[cereb],F12,astros[cereb]_F12,astro,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.38725793,0.06107795985486375,0.38725793,0.24633989,0.4856424,0.6537999,0.22499506
shsy5y[diff]_D1-2_Vessel-714_2019-06-15_11h30m00s_Ph_4.png,,../input/train_semi_supervised/shsy5y[diff]_D1-2_Vessel-714_2019-06-15_11h30m00s_Ph_4.png,shsy5y[diff],D1,shsy5y[diff]_D1,shsy5y,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.08412669,0.2768776481472037,0.08412669,0.2688211,0.36561307,0.0065673008,0.91335154
cort[density]_A9-2_Vessel-376_2020-11-03_13h30m00s_Ph_4.png,,../input/train_semi_supervised/cort[density]_A9-2_Vessel-376_2020-11-03_13h30m00s_Ph_4.png,cort[density],A9,cort[density]_A9,cort,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.5344376,0.8062012797930613,0.5344376,0.62329245,0.35379747,0.6262487,0.020977322
shsy5y[diff]_D9-4_Vessel-714_2019-06-16_11h30m00s_Ph_2.png,,../input/train_semi_supervised/shsy5y[diff]_D9-4_Vessel-714_2019-06-16_11h30m00s_Ph_2.png,shsy5y[diff],D9,shsy5y[diff]_D9,shsy5y,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.05698633,0.7482596903836584,0.05698633,0.8193586,0.43800607,0.064288676,0.5944796
astros[cereb]_E9-1_Vessel-361_2020-09-13_09h00m00s_Ph_4.png,,../input/train_semi_supervised/astros[cereb]_E9-1_Vessel-361_2020-09-13_09h00m00s_Ph_4.png,astros[cereb],E9,astros[cereb]_E9,astro,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.89717126,0.18452101935637732,0.89717126,0.2585607,0.25824952,0.034880307,0.7083394
astro[hippo]_F5-4_Vessel-361_2020-09-15_13h00m00s_Ph_4.png,,../input/train_semi_supervised/astro[hippo]_F5-4_Vessel-361_2020-09-15_13h00m00s_Ph_4.png,astro[hippo],F5,astro[hippo]_F5,astro,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.32830322,0.2093493233367103,0.32830322,0.49089205,0.20857683,0.026671112,0.799427
astros[cereb]_F11-1_Vessel-361_2020-09-14_09h00m00s_Ph_4.png,,../input/train_semi_supervised/astros[cereb]_F11-1_Vessel-361_2020-09-14_09h00m00s_Ph_4.png,astros[cereb],F11,astros[cereb]_F11,astro,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.008939357,0.370472102791382,0.008939357,0.09884893,0.8976565,0.66034126,0.021812836
shsy5y[diff]_D3-4_Vessel-714_2019-06-14_11h30m00s_Ph_1.png,,../input/train_semi_supervised/shsy5y[diff]_D3-4_Vessel-714_2019-06-14_11h30m00s_Ph_1.png,shsy5y[diff],D3,shsy5y[diff]_D3,shsy5y,5,1,1.0,0.0,0.0,0.0,0.0,1.0,0.9516136,0.4845229851910213,0.9516136,0.13221164,0.7444779,0.019222582,0.22696666
cort[density]_A9-2_Vessel-376_2020-11-03_13h30m00s_Ph_2.png,,../input/train_semi_supervised/cort[density]_A9-2_Vessel-376_2020-11-03_13h30m00s_Ph_2.png,cort[density],A9,cort[density]_A9,cort,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.5250628,0.618254771530296,0.5250628,0.36551562,0.28417283,0.31522,0.06192534
astro[hippo]_G1-3_Vessel-361_2020-09-16_13h00m00s_Ph_2.png,,../input/train_semi_supervised/astro[hippo]_G1-3_Vessel-361_2020-09-16_13h00m00s_Ph_2.png,astro[hippo],G1,astro[hippo]_G1,astro,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.27105746,0.3689136395697724,0.27105746,0.5706276,0.3593001,0.1563462,0.26871392
cort[debris]_D9-3_Vessel-384_2020-11-03_11h59m00s_Ph_1.png,,../input/train_semi_supervised/cort[debris]_D9-3_Vessel-384_2020-11-03_11h59m00s_Ph_1.png,cort[debris],D9,cort[debris]_D9,cort,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.09741806,0.4625347161331479,0.09741806,0.065832004,0.0067812297,0.9770173,0.11952921
